elec_date,county,entity_description,race_number,race_description,race_party,tot_race_prec,race_prec_reporting,cand_number,cand_name,cand_party,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes,race_county_owner
11/5/2024,"DELAWARE","DELAWARE COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,18,18,3,"KAMALA D. HARRIS | TIM WALZ",DEM,324,675,2476,3475,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,18,18,4,"ROBERT F. KENNEDY JR. | NICOLE SHANAHAN",IND,10,8,111,129,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,18,18,5,"CHRIS GARRITY | CODY BALLARD",IND,2,3,33,38,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",10002,"FOR CORPORATION COMMISSIONER",,18,18,1,"CHAD WILLIAMS",LIB,34,167,814,1015,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",10002,"FOR CORPORATION COMMISSIONER",,18,18,2,"J. BRIAN BINGMAN",REP,557,2572,10380,13509,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",10002,"FOR CORPORATION COMMISSIONER",,18,18,3,"HAROLD D SPRADLING",DEM,289,611,2357,3257,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",10004,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",,18,18,1,"JOSH BRECHEEN",REP,558,2648,10546,13752,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",10004,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",,18,18,2,"BRANDON WADE",DEM,303,625,2478,3406,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",10004,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",,18,18,3,"RONNIE HOPKINS",IND,22,95,550,667,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",10119,"FOR STATE REPRESENTATIVE DISTRICT 86",,3,3,1,"DAVID HARDIN",REP,82,410,2281,2773,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",10119,"FOR STATE REPRESENTATIVE DISTRICT 86",,3,3,2,"ANNE FITE",DEM,42,94,568,704,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",20003,"SUPREME COURT DISTRICT 3",,18,18,1,"YES",,408,1175,5617,7200,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",20003,"SUPREME COURT DISTRICT 3",,18,18,2,"NO",,354,1872,6938,9164,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",20004,"SUPREME COURT DISTRICT 4",,18,18,1,"YES",,382,1159,5513,7054,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",20004,"SUPREME COURT DISTRICT 4",,18,18,2,"NO",,384,1873,6993,9250,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",20007,"SUPREME COURT DISTRICT 7",,18,18,1,"YES",,390,1229,5835,7454,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",20007,"SUPREME COURT DISTRICT 7",,18,18,2,"NO",,377,1805,6691,8873,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",20010,"COURT OF CRIMINAL APPEALS DISTRICT 1",,18,18,1,"YES",,481,1814,7641,9936,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",20010,"COURT OF CRIMINAL APPEALS DISTRICT 1",,18,18,2,"NO",,275,1131,4548,5954,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",20013,"COURT OF CRIMINAL APPEALS DISTRICT 4",,18,18,1,"YES",,488,1859,7675,10022,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",20013,"COURT OF CRIMINAL APPEALS DISTRICT 4",,18,18,2,"NO",,262,1073,4410,5745,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",20014,"COURT OF CRIMINAL APPEALS DISTRICT 5",,18,18,1,"YES",,449,1550,6884,8883,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",20014,"COURT OF CRIMINAL APPEALS DISTRICT 5",,18,18,2,"NO",,303,1370,5170,6843,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",20018,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2",,18,18,1,"YES",,470,1852,7667,9989,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",20018,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2",,18,18,2,"NO",,280,1071,4367,5718,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",20022,"COURT OF CIVIL APPEALS DISTRICT 4 - OFFICE 2",,18,18,1,"YES",,471,1877,7762,10110,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",20022,"COURT OF CIVIL APPEALS DISTRICT 4 - OFFICE 2",,18,18,2,"NO",,276,1035,4225,5536,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",20023,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 1",,18,18,1,"YES",,476,1854,7545,9875,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",20023,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 1",,18,18,2,"NO",,274,1063,4426,5763,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",20024,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 2",,18,18,1,"YES",,448,1526,6860,8834,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",20024,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 2",,18,18,2,"NO",,302,1386,5127,6815,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",20025,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 1",,18,18,1,"YES",,454,1686,7035,9175,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",20025,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 1",,18,18,2,"NO",,290,1174,4682,6146,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",20026,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 2",,18,18,1,"YES",,452,1589,6881,8922,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",20026,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 2",,18,18,2,"NO",,292,1260,4835,6387,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",30010,"STATE QUESTION NO. 833 LEGISLATIVE REFERENDUM NO. 376",,18,18,1,"FOR THE PROPOSAL - YES",,310,1048,4633,5991,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",30010,"STATE QUESTION NO. 833 LEGISLATIVE REFERENDUM NO. 376",,18,18,2,"AGAINST THE PROPOSAL - NO",,511,2045,8046,10602,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",30011,"STATE QUESTION NO. 834 LEGISLATIVE REFERENDUM NO. 377",,18,18,1,"FOR THE PROPOSAL - YES",,727,2800,11702,15229,,
11/5/2024,"DELAWARE","DELAWARE COUNTY",30011,"STATE QUESTION NO. 834 LEGISLATIVE REFERENDUM NO. 377",,18,18,2,"AGAINST THE PROPOSAL - NO",,133,391,1382,1906,,
11/5/2024,"DELAWARE","DELAWARE COUNTY (CLEORA)",60211,"PROPOSITION  DELAWARE COUNTY (CLEORA)",,1,1,1,"FOR THE PROPOSITION - YES",,7,44,207,258,,
11/5/2024,"DELAWARE","DELAWARE COUNTY (CLEORA)",60211,"PROPOSITION  DELAWARE COUNTY (CLEORA)",,1,1,2,"AGAINST THE PROPOSITION - NO",,1,12,47,60,,
11/5/2024,"DEWEY","DEWEY COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,9,9,1,"CHASE OLIVER | MIKE TER MAAT",LIB,1,0,1,2,,
11/5/2024,"DEWEY","DEWEY COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,9,9,2,"DONALD J. TRUMP | JD VANCE",REP,71,258,1655,1984,,
11/5/2024,"DEWEY","DEWEY COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,9,9,3,"KAMALA D. HARRIS | TIM WALZ",DEM,27,25,157,209,,
11/5/2024,"DEWEY","DEWEY COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,9,9,4,"ROBERT F. KENNEDY JR. | NICOLE SHANAHAN",IND,0,2,14,16,,
11/5/2024,"DEWEY","DEWEY COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,9,9,5,"CHRIS GARRITY | CODY BALLARD",IND,0,2,2,4,,
11/5/2024,"DEWEY","DEWEY COUNTY",10002,"FOR CORPORATION COMMISSIONER",,9,9,1,"CHAD WILLIAMS",LIB,4,19,104,127,,
11/5/2024,"DEWEY","DEWEY COUNTY",10002,"FOR CORPORATION COMMISSIONER",,9,9,2,"J. BRIAN BINGMAN",REP,64,244,1521,1829,,
11/5/2024,"DEWEY","DEWEY COUNTY",10002,"FOR CORPORATION COMMISSIONER",,9,9,3,"HAROLD D SPRADLING",DEM,25,22,165,212,,
11/5/2024,"DEWEY","DEWEY COUNTY",20003,"SUPREME COURT DISTRICT 3",,9,9,1,"YES",,44,71,603,718,,
11/5/2024,"DEWEY","DEWEY COUNTY",20003,"SUPREME COURT DISTRICT 3",,9,9,2,"NO",,47,201,1121,1369,,
11/5/2024,"DEWEY","DEWEY COUNTY",20004,"SUPREME COURT DISTRICT 4",,9,9,1,"YES",,41,66,597,704,,
11/5/2024,"DEWEY","DEWEY COUNTY",20004,"SUPREME COURT DISTRICT 4",,9,9,2,"NO",,50,205,1126,1381,,
11/5/2024,"DEWEY","DEWEY COUNTY",20007,"SUPREME COURT DISTRICT 7",,9,9,1,"YES",,44,71,650,765,,
11/5/2024,"DEWEY","DEWEY COUNTY",20007,"SUPREME COURT DISTRICT 7",,9,9,2,"NO",,47,199,1070,1316,,
11/5/2024,"DEWEY","DEWEY COUNTY",20010,"COURT OF CRIMINAL APPEALS DISTRICT 1",,9,9,1,"YES",,48,142,997,1187,,
11/5/2024,"DEWEY","DEWEY COUNTY",20010,"COURT OF CRIMINAL APPEALS DISTRICT 1",,9,9,2,"NO",,40,123,684,847,,
11/5/2024,"DEWEY","DEWEY COUNTY",20013,"COURT OF CRIMINAL APPEALS DISTRICT 4",,9,9,1,"YES",,50,123,897,1070,,
11/5/2024,"DEWEY","DEWEY COUNTY",20013,"COURT OF CRIMINAL APPEALS DISTRICT 4",,9,9,2,"NO",,36,142,783,961,,
11/5/2024,"DEWEY","DEWEY COUNTY",20014,"COURT OF CRIMINAL APPEALS DISTRICT 5",,9,9,1,"YES",,48,108,794,950,,
11/5/2024,"DEWEY","DEWEY COUNTY",20014,"COURT OF CRIMINAL APPEALS DISTRICT 5",,9,9,2,"NO",,40,158,883,1081,,
11/5/2024,"DEWEY","DEWEY COUNTY",20018,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2",,9,9,1,"YES",,50,147,1003,1200,,
11/5/2024,"DEWEY","DEWEY COUNTY",20018,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2",,9,9,2,"NO",,38,120,668,826,,
11/5/2024,"DEWEY","DEWEY COUNTY",20022,"COURT OF CIVIL APPEALS DISTRICT 4 - OFFICE 2",,9,9,1,"YES",,48,148,1002,1198,,
11/5/2024,"DEWEY","DEWEY COUNTY",20022,"COURT OF CIVIL APPEALS DISTRICT 4 - OFFICE 2",,9,9,2,"NO",,39,119,661,819,,
11/5/2024,"DEWEY","DEWEY COUNTY",20023,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 1",,9,9,1,"YES",,48,144,988,1180,,
11/5/2024,"DEWEY","DEWEY COUNTY",20023,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 1",,9,9,2,"NO",,40,121,680,841,,
11/5/2024,"DEWEY","DEWEY COUNTY",20024,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 2",,9,9,1,"YES",,45,106,780,931,,
11/5/2024,"DEWEY","DEWEY COUNTY",20024,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 2",,9,9,2,"NO",,42,163,890,1095,,
11/5/2024,"DEWEY","DEWEY COUNTY",20025,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 1",,9,9,1,"YES",,49,129,863,1041,,
11/5/2024,"DEWEY","DEWEY COUNTY",20025,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 1",,9,9,2,"NO",,39,140,803,982,,
11/5/2024,"DEWEY","DEWEY COUNTY",20026,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 2",,9,9,1,"YES",,47,120,836,1003,,
11/5/2024,"DEWEY","DEWEY COUNTY",20026,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 2",,9,9,2,"NO",,41,149,833,1023,,
11/5/2024,"DEWEY","DEWEY COUNTY",30010,"STATE QUESTION NO. 833 LEGISLATIVE REFERENDUM NO. 376",,9,9,1,"FOR THE PROPOSAL - YES",,31,93,583,707,,
11/5/2024,"DEWEY","DEWEY COUNTY",30010,"STATE QUESTION NO. 833 LEGISLATIVE REFERENDUM NO. 376",,9,9,2,"AGAINST THE PROPOSAL - NO",,59,189,1152,1400,,
11/5/2024,"DEWEY","DEWEY COUNTY",30011,"STATE QUESTION NO. 834 LEGISLATIVE REFERENDUM NO. 377",,9,9,1,"FOR THE PROPOSAL - YES",,90,264,1607,1961,,
11/5/2024,"DEWEY","DEWEY COUNTY",30011,"STATE QUESTION NO. 834 LEGISLATIVE REFERENDUM NO. 377",,9,9,2,"AGAINST THE PROPOSAL - NO",,7,20,171,198,,
11/5/2024,"ELLIS","ELLIS COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,7,7,1,"CHASE OLIVER | MIKE TER MAAT",LIB,0,1,14,15,,
11/5/2024,"ELLIS","ELLIS COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,7,7,2,"DONALD J. TRUMP | JD VANCE",REP,51,294,1240,1585,,
11/5/2024,"ELLIS","ELLIS COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,7,7,3,"KAMALA D. HARRIS | TIM WALZ",DEM,16,35,146,197,,
11/5/2024,"ELLIS","ELLIS COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,7,7,4,"ROBERT F. KENNEDY JR. | NICOLE SHANAHAN",IND,1,3,6,10,,
11/5/2024,"ELLIS","ELLIS COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,7,7,5,"CHRIS GARRITY | CODY BALLARD",IND,0,1,4,5,,
11/5/2024,"ELLIS","ELLIS COUNTY",10002,"FOR CORPORATION COMMISSIONER",,7,7,1,"CHAD WILLIAMS",LIB,5,19,83,107,,
11/5/2024,"ELLIS","ELLIS COUNTY",10002,"FOR CORPORATION COMMISSIONER",,7,7,2,"J. BRIAN BINGMAN",REP,49,275,1167,1491,,
11/5/2024,"ELLIS","ELLIS COUNTY",10002,"FOR CORPORATION COMMISSIONER",,7,7,3,"HAROLD D SPRADLING",DEM,13,29,124,166,,
11/5/2024,"ELLIS","ELLIS COUNTY",20003,"SUPREME COURT DISTRICT 3",,7,7,1,"YES",,35,109,512,656,,
11/5/2024,"ELLIS","ELLIS COUNTY",20003,"SUPREME COURT DISTRICT 3",,7,7,2,"NO",,24,205,773,1002,,
11/5/2024,"ELLIS","ELLIS COUNTY",20004,"SUPREME COURT DISTRICT 4",,7,7,1,"YES",,36,101,496,633,,
11/5/2024,"ELLIS","ELLIS COUNTY",20004,"SUPREME COURT DISTRICT 4",,7,7,2,"NO",,23,209,784,1016,,
11/5/2024,"ELLIS","ELLIS COUNTY",20007,"SUPREME COURT DISTRICT 7",,7,7,1,"YES",,35,116,534,685,,
11/5/2024,"ELLIS","ELLIS COUNTY",20007,"SUPREME COURT DISTRICT 7",,7,7,2,"NO",,24,197,755,976,,
11/5/2024,"ELLIS","ELLIS COUNTY",20010,"COURT OF CRIMINAL APPEALS DISTRICT 1",,7,7,1,"YES",,40,173,721,934,,
11/5/2024,"ELLIS","ELLIS COUNTY",20010,"COURT OF CRIMINAL APPEALS DISTRICT 1",,7,7,2,"NO",,13,135,528,676,,
11/5/2024,"ELLIS","ELLIS COUNTY",20013,"COURT OF CRIMINAL APPEALS DISTRICT 4",,7,7,1,"YES",,38,165,704,907,,
11/5/2024,"ELLIS","ELLIS COUNTY",20013,"COURT OF CRIMINAL APPEALS DISTRICT 4",,7,7,2,"NO",,16,143,542,701,,
11/5/2024,"ELLIS","ELLIS COUNTY",20014,"COURT OF CRIMINAL APPEALS DISTRICT 5",,7,7,1,"YES",,43,158,649,850,,
11/5/2024,"ELLIS","ELLIS COUNTY",20014,"COURT OF CRIMINAL APPEALS DISTRICT 5",,7,7,2,"NO",,12,149,600,761,,
11/5/2024,"ELLIS","ELLIS COUNTY",20018,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2",,7,7,1,"YES",,35,165,728,928,,
11/5/2024,"ELLIS","ELLIS COUNTY",20018,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2",,7,7,2,"NO",,17,142,495,654,,
11/5/2024,"ELLIS","ELLIS COUNTY",20022,"COURT OF CIVIL APPEALS DISTRICT 4 - OFFICE 2",,7,7,1,"YES",,32,176,701,909,,
11/5/2024,"ELLIS","ELLIS COUNTY",20022,"COURT OF CIVIL APPEALS DISTRICT 4 - OFFICE 2",,7,7,2,"NO",,23,132,517,672,,
11/5/2024,"ELLIS","ELLIS COUNTY",20023,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 1",,7,7,1,"YES",,35,173,700,908,,
11/5/2024,"ELLIS","ELLIS COUNTY",20023,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 1",,7,7,2,"NO",,18,132,517,667,,
11/5/2024,"ELLIS","ELLIS COUNTY",20024,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 2",,7,7,1,"YES",,39,148,634,821,,
11/5/2024,"ELLIS","ELLIS COUNTY",20024,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 2",,7,7,2,"NO",,13,159,584,756,,
11/5/2024,"ELLIS","ELLIS COUNTY",20025,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 1",,7,7,1,"YES",,32,161,664,857,,
11/5/2024,"ELLIS","ELLIS COUNTY",20025,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 1",,7,7,2,"NO",,21,143,555,719,,
11/5/2024,"ELLIS","ELLIS COUNTY",20026,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 2",,7,7,1,"YES",,35,157,665,857,,
11/5/2024,"ELLIS","ELLIS COUNTY",20026,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 2",,7,7,2,"NO",,16,147,558,721,,
11/5/2024,"ELLIS","ELLIS COUNTY",30010,"STATE QUESTION NO. 833 LEGISLATIVE REFERENDUM NO. 376",,7,7,1,"FOR THE PROPOSAL - YES",,16,130,499,645,,
11/5/2024,"ELLIS","ELLIS COUNTY",30010,"STATE QUESTION NO. 833 LEGISLATIVE REFERENDUM NO. 376",,7,7,2,"AGAINST THE PROPOSAL - NO",,47,193,787,1027,,
11/5/2024,"ELLIS","ELLIS COUNTY",30011,"STATE QUESTION NO. 834 LEGISLATIVE REFERENDUM NO. 377",,7,7,1,"FOR THE PROPOSAL - YES",,61,297,1209,1567,,
11/5/2024,"ELLIS","ELLIS COUNTY",30011,"STATE QUESTION NO. 834 LEGISLATIVE REFERENDUM NO. 377",,7,7,2,"AGAINST THE PROPOSAL - NO",,6,30,114,150,,
11/5/2024,"ELLIS","TOWN OF SHATTUCK",42301,"PROPOSITION  TOWN OF SHATTUCK",,2,2,1,"FOR THE PROPOSITION - YES",,15,55,353,423,,
11/5/2024,"ELLIS","TOWN OF SHATTUCK",42301,"PROPOSITION  TOWN OF SHATTUCK",,2,2,2,"AGAINST THE PROPOSITION - NO",,1,14,93,108,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,29,29,1,"CHASE OLIVER | MIKE TER MAAT",LIB,9,13,87,109,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,29,29,2,"DONALD J. TRUMP | JD VANCE",REP,666,3124,12803,16593,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,29,29,3,"KAMALA D. HARRIS | TIM WALZ",DEM,446,1032,3371,4849,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,29,29,4,"ROBERT F. KENNEDY JR. | NICOLE SHANAHAN",IND,6,17,209,232,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,29,29,5,"CHRIS GARRITY | CODY BALLARD",IND,5,7,49,61,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",10002,"FOR CORPORATION COMMISSIONER",,29,29,1,"CHAD WILLIAMS",LIB,71,260,1461,1792,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",10002,"FOR CORPORATION COMMISSIONER",,29,29,2,"J. BRIAN BINGMAN",REP,663,2985,11939,15587,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",10002,"FOR CORPORATION COMMISSIONER",,29,29,3,"HAROLD D SPRADLING",DEM,367,878,2824,4069,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",10071,"FOR STATE REPRESENTATIVE DISTRICT 38",,8,8,1,"JOHN PFEIFFER",REP,145,576,3557,4278,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",10071,"FOR STATE REPRESENTATIVE DISTRICT 38",,8,8,2,"DOYLE LEWIS",DEM,56,139,482,677,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",20003,"SUPREME COURT DISTRICT 3",,29,29,1,"YES",,575,1556,6920,9051,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",20003,"SUPREME COURT DISTRICT 3",,29,29,2,"NO",,413,2340,8444,11197,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",20004,"SUPREME COURT DISTRICT 4",,29,29,1,"YES",,548,1524,6818,8890,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",20004,"SUPREME COURT DISTRICT 4",,29,29,2,"NO",,439,2358,8469,11266,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",20007,"SUPREME COURT DISTRICT 7",,29,29,1,"YES",,552,1560,7076,9188,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",20007,"SUPREME COURT DISTRICT 7",,29,29,2,"NO",,436,2326,8228,10990,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",20010,"COURT OF CRIMINAL APPEALS DISTRICT 1",,29,29,1,"YES",,633,2311,9330,12274,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",20010,"COURT OF CRIMINAL APPEALS DISTRICT 1",,29,29,2,"NO",,314,1471,5613,7398,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",20013,"COURT OF CRIMINAL APPEALS DISTRICT 4",,29,29,1,"YES",,636,2332,9390,12358,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",20013,"COURT OF CRIMINAL APPEALS DISTRICT 4",,29,29,2,"NO",,310,1432,5520,7262,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",20014,"COURT OF CRIMINAL APPEALS DISTRICT 5",,29,29,1,"YES",,623,2045,8584,11252,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",20014,"COURT OF CRIMINAL APPEALS DISTRICT 5",,29,29,2,"NO",,326,1717,6312,8355,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",20018,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2",,29,29,1,"YES",,629,2303,9371,12303,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",20018,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2",,29,29,2,"NO",,318,1460,5426,7204,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",20022,"COURT OF CIVIL APPEALS DISTRICT 4 - OFFICE 2",,29,29,1,"YES",,626,2308,9387,12321,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",20022,"COURT OF CIVIL APPEALS DISTRICT 4 - OFFICE 2",,29,29,2,"NO",,322,1450,5383,7155,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",20023,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 1",,29,29,1,"YES",,612,2289,9238,12139,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",20023,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 1",,29,29,2,"NO",,333,1468,5500,7301,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",20024,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 2",,29,29,1,"YES",,612,1994,8391,10997,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",20024,"COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 2",,29,29,2,"NO",,340,1761,6360,8461,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",20025,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 1",,29,29,1,"YES",,658,2131,8926,11715,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",20025,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 1",,29,29,2,"NO",,293,1628,5843,7764,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",20026,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 2",,29,29,1,"YES",,634,2078,8662,11374,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",20026,"COURT OF CIVIL APPEALS DISTRICT 6 - OFFICE 2",,29,29,2,"NO",,315,1679,6096,8090,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",30010,"STATE QUESTION NO. 833 LEGISLATIVE REFERENDUM NO. 376",,29,29,1,"FOR THE PROPOSAL - YES",,475,1385,6012,7872,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",30010,"STATE QUESTION NO. 833 LEGISLATIVE REFERENDUM NO. 376",,29,29,2,"AGAINST THE PROPOSAL - NO",,531,2568,9436,12535,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",30011,"STATE QUESTION NO. 834 LEGISLATIVE REFERENDUM NO. 377",,29,29,1,"FOR THE PROPOSAL - YES",,899,3328,13579,17806,,
11/5/2024,"GARFIELD","GARFIELD COUNTY",30011,"STATE QUESTION NO. 834 LEGISLATIVE REFERENDUM NO. 377",,29,29,2,"AGAINST THE PROPOSAL - NO",,181,707,2172,3060,,
11/5/2024,"GARVIN","GARVIN COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,17,17,1,"CHASE OLIVER | MIKE TER MAAT",LIB,1,6,27,34,,
11/5/2024,"GARVIN","GARVIN COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,17,17,2,"DONALD J. TRUMP | JD VANCE",REP,238,1956,6869,9063,,
11/5/2024,"GARVIN","GARVIN COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,17,17,3,"KAMALA D. HARRIS | TIM WALZ",DEM,97,453,1252,1802,,
11/5/2024,"GARVIN","GARVIN COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,17,17,4,"ROBERT F. KENNEDY JR. | NICOLE SHANAHAN",IND,4,10,62,76,,
11/5/2024,"GARVIN","GARVIN COUNTY",10001,"ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,17,17,5,"CHRIS GARRITY | CODY BALLARD",IND,0,5,11,16,,
